GEO_ID,County,State,FIPS,RUCC,IRR,SVI,TotalPopulation,ZIRR,ZNegMedianIncome,ZNoInternet,ZNoCollege,ZNegMentalHealthProviders,Znonwhite,ZPoverty18-64,ZLackingCompletePlumbing,Z65+,ZLessThanHighSchool,ZNoVehicle,ZHousingcostBurden,ZratioPCP,Zunemployed,Zuninsured,ZLongCommute,Zdrinkingwaterviolations,ZNaturalDisasterRisk,Zfoodinsecurity,HeartDiseaseMortality,PreventableHospitalStays,PoororFairHealth,InfantMortality,PrematureMortality
0500000US20063,Gove,KS,20063,9,0.618043076,0.0372,2717,2.323585721,-0.519755763,0.494012213,-0.288136624,0.678413114,-1.108855406,-2.165269426,-0.428152903,0.737200958,-0.40427796,-1.735636041,-0.328663609,-1.01544219,-1.386880132,-0.168366854,-0.94130817,-0.744471872,-0.632683114,-1.535021051,322.3,5789,0.137,,324.631716
0500000US33009,Grafton,NH,33009,5,0.480655089,0.2619,91126,-0.802906056,-2.291380946,-0.948679715,1.659303772,-1.842184297,-0.627783053,-1.062107559,-0.671276373,0.406132663,-1.369216781,0.146780352,0.772983739,-0.98780122,-1.229257035,-1.13851839,-0.033021325,1.342122145,0.816898192,-1.506655079,274.3,2045,0.111,4.070832485,307.0844136
0500000US04009,Graham,AZ,4009,7,0.535048641,0.8486,38779,0.43490954,-0.870625714,-0.406406393,-1.242807213,0.596670505,0.636987216,0.174770898,-0.398197578,-1.451502451,0.119886338,-0.762701319,-0.115700743,-0.241032873,-0.24965073,0.258352567,-0.958944807,-0.744471872,0.885925873,-0.230186345,315.2,1313,0.198,,501.9345365
0500000US20065,Graham,KS,20065,9,0.631470308,0.2765,2411,2.629144666,0.356270254,-0.978765705,-1.204252722,0.851840012,-0.694211718,-0.828103526,0.18452325,1.105029847,1.323081659,-0.771201584,-0.346451387,-0.72590381,-1.206522389,0.181413112,-1.602682086,-0.744471872,-1.34761267,-1.478289107,319.8,5128,0.161,,445.0602124
0500000US37075,Graham,NC,37075,9,0.542113134,0.6933,7980,0.595673809,0.685694843,0.89595444,-0.138764537,0.320410471,-0.4287601,-1.028678411,0.055326197,0.930272726,-0.833139658,1.106732589,-1.412439706,-0.147087602,1.112030465,1.550352613,-0.174114427,-0.744471872,-1.414175076,0.535694895,324.5,1216,0.164,,547.9359789
0500000US18053,Grant,IN,18053,4,0.450308373,0.7649,66022,-1.493495955,0.262829749,-0.656839148,0.015505729,-0.539880483,-0.404433225,0.392060357,-0.301867566,-0.397013216,-1.035657682,0.385930184,0.335112516,-0.269989037,-0.50977665,-0.808062865,-0.606212052,-0.744471872,0.691169201,0.223669205,351.8,3841,0.189,8.568164509,619.9021441
0500000US20067,Grant,KS,20067,7,0.586864244,0.3363,7197,1.614059626,-1.309574829,-2.143446943,1.049326238,0.524480787,0.600494031,-1.830977951,0.277734283,-1.659388322,-1.130960282,-1.357130225,-2.580110926,-0.240756037,-0.7776607,1.167837016,-1.505680578,-0.744471872,-0.139628248,-2.017242572,258.7,2928,0.167,,379.9047622
0500000US35017,Grant,NM,35017,7,0.550797814,0.7404,27686,0.793308126,0.950953547,-0.55493881,-0.072821063,-2.092527246,0.576075296,1.060643307,1.329959121,1.977640636,-0.785488358,-1.196755625,-0.243794258,-0.589352864,0.150844963,-0.462301691,-1.276404287,1.342122145,0.614745697,0.677524754,336.2,1510,0.191,,495.2698195
0500000US40053,Grant,OK,40053,8,0.586322387,0.2208,4124,1.601728758,-0.402401977,0.790134574,0.341163406,0.851840012,-0.586213193,-0.627528641,2.505273847,0.399066314,1.227779059,-1.157125543,-1.909725067,,-1.541426723,0.588743,-0.041839644,1.342122145,-1.30816828,-0.286918289,454.9,2582,0.179,,518.653526
0500000US53025,Grant,WA,53025,5,0.455874759,0.931,101311,-1.366823608,-1.193072049,-1.239664753,-0.069207525,-0.371381876,1.069209867,-0.276522593,-1.071717191,-1.472584122,-0.070718861,-0.833409142,-0.17871538,-0.214925565,1.625553476,0.320388648,-0.588575414,1.342122145,1.381446013,-0.967701614,293.4,1577,0.195,4.64840273,387.4331431
0500000US54023,Grant,WV,54023,9,0.528467962,0.2695,10968,0.285155262,-0.377382388,-0.186382215,1.807478453,0.422225767,-0.995663541,-0.259808019,-0.224798495,0.848416685,-0.40427796,0.537424359,-1.063748305,-0.581688293,-0.172816169,-0.698294128,-0.615030371,-0.744471872,-1.204626758,-1.336459248,322.7,3960,0.213,,477.4435382
0500000US37077,Granville,NC,37077,6,0.450160911,0.6612,61903,-1.496851707,-1.181157959,-1.065954874,-1.035137164,-0.959797697,1.168244091,-0.594099494,-0.762028895,-0.818949656,0.417706962,-1.198478658,0.579914181,-0.437839177,-0.571934271,-0.017963802,1.74827909,-0.744471872,0.682540741,-0.825871754,289.6,2746,0.17,5.077369439,434.4397973
0500000US26057,Gratiot,MI,26057,6,0.473858674,0.4171,41100,-0.957569769,-0.343171929,-0.487344279,-1.015358181,-0.157057239,-0.556089839,-0.493812051,-0.993784641,-0.708079668,-0.320888185,-0.737116042,-0.436920342,-0.383069524,0.558097204,-1.301568223,-0.024203006,-0.744471872,0.088409627,-0.116722458,445.8,3148,0.167,,426.2927736
0500000US21083,Graves,KY,21083,6,0.479033315,0.5507,36412,-0.839812217,0.554810054,-0.260702553,-0.01676853,0.360089119,-0.48752483,0.626064389,-0.771615346,-0.534527111,-0.154108636,-0.411937222,0.200326866,0.236119212,0.462977591,-1.012489789,-0.597393733,-0.744471872,1.489918083,-0.00325857,381.5,6045,0.221,,559.4782632
0500000US53027,GraysHarbor,WA,53027,4,0.492407325,0.8215,77038,-0.535464399,-0.548349579,-1.110280783,-1.208856304,-1.233877437,-0.119153659,-0.410239183,-0.903660187,0.401716069,0.298578713,-0.256308002,0.220643849,-0.122339817,2.155487446,-0.661204299,-0.094749557,-0.744471872,1.921341091,-0.00325857,337.9,1868,0.178,5.906674542,498.7102631
0500000US51077,Grayson,VA,51077,9,0.514585144,0.5851,15343,-0.030771302,1.211106212,0.203788663,0.20017323,0.575439843,-0.631967491,0.609349816,-0.041846346,1.069880913,-0.856965308,-0.364963711,-1.064414886,1.806465954,-0.988385973,-0.568394556,0.63717091,-0.744471872,-1.581813731,-0.372016205,293.5,2027,0.201,,456.9620674
