,GEO_ID,County,State,FIPS,Population,SDOH Score,RUCC,IRR,SVI,Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
1142,0500000US39167,Washington,OH,39167,58901.0,29.769403715600863,4,0.4775138348932949,0.3274,465.72806101,6.2380038388,3055.0,338.2,0.17
418,0500000US26057,Gratiot,MI,26057,41100.0,29.80154576454044,6,0.4926918063177407,0.4171,426.29277357,,3148.0,445.8,0.167
958,0500000US55107,Rusk,WI,55107,14186.0,29.86650735977977,8,0.5530931303965889,0.216,436.49516288,,1799.0,332.8,0.15
58,0500000US13011,Banks,GA,13011,19328.0,30.0442362825877,8,0.5226956838480072,0.3373,500.25273956,15.415549598,4561.0,365.4,0.189
481,0500000US21105,Hickman,KY,21105,4422.0,30.07618893420657,8,0.5771414260046557,0.2326,542.68296915,,3698.0,437.7,0.232
170,0500000US29041,Chariton,MO,29041,7386.0,30.116937596530967,8,0.5739307018794859,0.1747,457.54486897,,2509.0,395.0,0.172
438,0500000US12045,Gulf,FL,12045,15314.0,30.131049724666266,8,0.54435957120407,0.7082,548.4654627,,3283.0,336.9,0.167
250,0500000US36023,Cortland,NY,36023,46126.0,30.132995647858348,4,0.4849630899139922,0.3684,424.15187929,,3707.0,330.2,0.136
164,0500000US36011,Cayuga,NY,36011,74998.0,30.15251358869908,4,0.4677170221751737,0.5208,357.98183737,6.4909520063,3511.0,356.2,0.151
1097,0500000US12125,Union,FL,12125,15460.0,30.15813527585135,8,0.5228632565870108,0.6669,971.03023814,,3331.0,443.1,0.212
696,0500000US29127,Marion,MO,29127,28438.0,30.161357210466633,7,0.5147165281386454,0.4368,517.50838817,,4550.0,357.7,0.188
469,0500000US37087,Haywood,NC,37087,62609.0,30.172105276652594,4,0.4721229684044444,0.3646,452.45316551,7.6219512195,2247.0,318.7,0.142
1167,0500000US26165,Wexford,MI,26165,34196.0,30.229538187795452,6,0.5207310566804141,0.5056,464.03748328,,2976.0,370.9,0.163
680,0500000US21151,Madison,KY,21151,95187.0,30.261251612145212,4,0.4579881311188372,0.3843,539.55855456,4.3520988348,2567.0,358.2,0.192
23,0500000US20001,Allen,KS,20001,12579.0,30.268366843599527,7,0.5443680710817089,0.5854,488.28655797,,3043.0,387.4,0.161
350,0500000US13111,Fannin,GA,13111,25737.0,30.325122079383128,8,0.5278561842738638,0.6172,514.91845239,,2029.0,386.2,0.171
712,0500000US26105,Mason,MI,26105,29409.0,30.379221424333718,7,0.5148689623389,0.3812,390.58450109,,2821.0,355.8,0.158
831,0500000US18117,Orange,IN,18117,19623.0,30.557626927118807,8,0.5241414705636271,0.5791,540.61559741,,1455.0,396.7,0.189
569,0500000US24029,Kent,MD,24029,19320.0,30.56097464787494,6,0.5132799859177596,0.4353,439.31344699,,1393.0,354.2,0.144
103,0500000US05009,Boone,AR,5009,38284.0,30.597102947217223,7,0.5114523829328748,0.2647,514.76151855,,2231.0,518.8,0.199
870,0500000US29159,Pettis,MO,29159,43353.0,30.719270770196488,5,0.5049189352764205,0.6936,477.74790194,,4018.0,408.1,0.197
274,0500000US41015,Curry,OR,41015,23598.0,30.771221299713815,7,0.5799483733645178,0.6067,531.37831238,,1388.0,353.5,0.152
774,0500000US08083,Montezuma,CO,8083,26468.0,30.791427171440343,6,0.572850474254953,0.6061,486.58554564,,694.0,280.7,0.152
303,0500000US19057,Des Moines,IA,19057,38293.0,30.86280834252702,5,0.4907722573792805,0.4174,433.61402484,,2732.0,348.8,0.139
45,0500000US20005,Atchison,KS,20005,16108.0,30.86710972679827,6,0.5271007562858436,0.4728,412.32259881,,3835.0,386.7,0.15
1108,0500000US26159,Van Buren,MI,26159,75692.0,30.99116055393673,6,0.466614064348795,0.6494,427.70886172,4.5569620253,2500.0,388.4,0.167
714,0500000US53045,Mason,WA,53045,68166.0,31.068714749564673,4,0.4995974549327205,0.573,411.55113835,4.4802867384,1900.0,320.4,0.16
298,0500000US06015,Del Norte,CA,6015,27082.0,31.078757900246494,7,0.5345717528439405,0.9004,535.54320714,,1451.0,306.3,0.205
444,0500000US36041,Hamilton,NY,36041,5118.0,31.171353530899847,8,0.6024308321191033,0.1654,312.4477384,,2973.0,320.7,0.155
416,0500000US54023,Grant,WV,54023,10968.0,31.174799946339466,9,0.5496727389411561,0.2695,477.44353819,,3960.0,322.7,0.213
429,0500000US42059,Greene,PA,42059,34663.0,31.185380321943562,6,0.4952306529394509,0.342,501.0092908,,4229.0,457.5,0.168
