"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0500000US48407","San Jacinto County, Texas","10480","425","8796","555","120","135","8676","571","7503","531","1943","319","4650","515","550","241","1303","335","310","149","255","126","351","221","1333","296",
"0500000US48409","San Patricio County, Texas","24496","550","20056","668","5","11","20051","667","18902","694","2498","472","15540","655","839","221","2673","414","292","144","0","35","551","174","3889","502",
"0500000US48411","San Saba County, Texas","2095","145","1855","153","7","10","1848","154","1562","152","426","120","1279","161","215","77","281","92","51","45","0","21","17","14","223","89",
"0500000US48413","Schleicher County, Texas","919","94","666","123","0","15","666","123","526","108","86","47","448","114","137","82","160","66","3","7","0","15","23","27","230","78",
"0500000US48415","Scurry County, Texas","5931","221","5041","329","0","23","5041","329","4744","322","846","238","3508","398","181","121","837","189","116","81","0","23","95","83","795","289",
"0500000US48417","Shackelford County, Texas","1329","75","1160","92","0","15","1160","92","1063","97","194","63","718","93","49","32","326","83","46","38","2","4","5","7","164","75",
"0500000US48419","Shelby County, Texas","9177","285","7289","432","29","26","7260","432","6402","432","2020","321","3307","392","477","162","2323","299","322","139","0","28","236","119","1652","299",
"0500000US48421","Sherman County, Texas","842","92","801","91","0","15","801","91","783","91","135","44","621","93","15","18","109","57","3","4","0","15","0","15","41","28",
"0500000US48423","Smith County, Texas","81690","1080","72641","1090","122","87","72519","1080","65221","1346","24921","1494","42245","1696","5071","622","7907","881","1547","541","101","81","1328","342","7721","687",
"0500000US48425","Somervell County, Texas","3562","161","3185","211","29","36","3156","215","3048","207","710","231","1816","278","46","45","676","187","44","43","18","37","163","150","214","111",
"0500000US48427","Starr County, Texas","18692","500","13634","554","19","22","13615","556","9651","575","1870","368","11002","635","3897","503","1015","233","36","39","0","35","252","163","4806","430",
"0500000US48429","Stephens County, Texas","3560","238","3080","248","0","21","3080","248","2868","242","726","180","2026","259","186","81","325","102","26","22","0","21","126","93","354","144",
"0500000US48431","Sterling County, Texas","402","61","373","59","0","15","373","59","289","67","69","39","232","53","72","44","100","44","4","5","8","13","0","15","29","23",
"0500000US48433","Stonewall County, Texas","476","75","413","75","0","15","413","75","357","62","52","31","301","70","52","36","61","34","0","15","0","15","9","9","54","28",
"0500000US48435","Sutton County, Texas","1236","171","920","162","0","15","920","162","763","148","139","76","743","155","145","87","108","55","12","17","0","15","40","52","276","117",
"0500000US48437","Swisher County, Texas","2453","103","1805","173","0","21","1805","173","1453","190","465","149","1275","158","332","106","149","59","20","26","0","21","144","91","504","124",
"0500000US48439","Tarrant County, Texas","769285","2190","712973","2899","801","275","712172","2910","683867","3186","80464","2742","609151","4034","24344","1593","63574","1853","2199","346","363","152","14966","1104","41346","1820",
"0500000US48441","Taylor County, Texas","54390","618","49413","815","26","25","49387","811","47678","761","7600","706","39931","978","1572","333","3061","431","73","53","0","35","728","173","4249","530",
"0500000US48443","Terrell County, Texas","453","117","374","115","0","15","374","115","374","115","95","56","254","101","0","15","91","63","0","15","0","15","23","23","56","50",
"0500000US48445","Terry County, Texas","4271","168","3696","217","0","23","3696","217","3295","279","1125","235","2472","254","340","175","348","122","20","27","0","23","93","85","482","166",
"0500000US48447","Throckmorton County, Texas","686","73","570","76","1","2","569","76","529","82","175","56","325","70","29","17","84","29","11","12","0","15","21","13","95","44",
"0500000US48449","Titus County, Texas","11011","213","9280","329","0","31","9280","329","8891","331","3911","393","4392","314","301","103","1267","210","71","42","17","19","311","121","1420","256",
"0500000US48451","Tom Green County, Texas","46094","633","40053","885","142","100","39911","890","36499","867","5588","592","31683","935","2746","414","3919","457","312","167","155","122","1380","382","4661","554",
"0500000US48453","Travis County, Texas","561491","1859","524119","2618","306","133","523813","2599","496614","3146","44193","2256","467291","3135","24824","1966","27020","1423","952","269","274","185","13991","1234","23381","1638",
"0500000US48455","Trinity County, Texas","6033","298","5097","348","10","19","5087","343","4475","338","1041","230","3505","356","452","160","956","184","69","57","28","33","191","107","745","163",
"0500000US48457","Tyler County, Texas","7073","231","5761","256","0","28","5761","256","5348","280","2172","279","2027","216","157","74","1388","239","156","90","12","15","266","123","1046","183",
"0500000US48459","Upshur County, Texas","15372","414","13521","438","25","28","13496","436","12476","459","3996","529","8599","585","782","266","1198","285","138","88","16","18","197","86","1654","308",
"0500000US48461","Upton County, Texas","1325","103","995","112","0","15","995","112","731","100","79","51","861","113","230","91","70","35","27","25","0","15","92","61","238","92",
"0500000US48463","Uvalde County, Texas","8422","281","7119","365","3","5","7116","366","6392","352","1316","326","4952","435","677","247","1134","286","24","18","0","28","188","101","1115","318",
"0500000US48465","Val Verde County, Texas","16706","382","12686","680","20","36","12666","674","11600","772","1739","386","10190","732","935","288","1722","356","101","75","9","17","866","330","3154","528",
"0500000US48467","Van Zandt County, Texas","22555","514","18889","726","43","38","18846","726","17670","713","5844","652","8965","633","729","214","4460","449","312","120","56","48","754","238","2912","422",
"0500000US48469","Victoria County, Texas","34142","630","27433","712","17","28","27416","714","25287","726","4112","527","21290","817","1685","372","2574","362","304","129","21","34","2753","523","3956","495",
"0500000US48471","Walker County, Texas","25180","595","21402","856","5","16","21397","858","19660","926","2655","537","17097","888","1456","515","2904","552","124","69","0","35","1257","421","2521","548",
"0500000US48473","Waller County, Texas","17981","368","15646","631","51","53","15595","634","13561","791","3445","450","10083","670","1664","473","2863","484","105","97","19","17","355","245","1980","446",
"0500000US48475","Ward County, Texas","4345","171","3565","240","5","9","3560","241","3231","251","677","170","2425","279","213","98","786","215","45","48","0","23","97","78","683","194",
"0500000US48477","Washington County, Texas","15277","373","12645","486","0","31","12645","486","10779","559","3050","441","7472","568","1502","388","2289","340","316","170","40","39","563","282","2069","315",
"0500000US48479","Webb County, Texas","79572","551","67077","917","77","52","67000","914","60645","1098","7608","786","56993","1205","5900","729","4186","615","281","116","112","94","2123","451","10372","759",
"0500000US48481","Wharton County, Texas","15422","435","12611","605","72","80","12539","611","11179","635","3696","565","6943","594","978","274","2808","456","247","124","29","37","309","170","2502","421",
"0500000US48483","Wheeler County, Texas","1849","113","1554","132","0","15","1554","132","1387","146","322","101","1003","112","114","50","312","86","53","34","0","15","18","27","277","88",
"0500000US48485","Wichita County, Texas","48935","599","42558","746","40","40","42518","745","39077","869","5326","567","34670","778","2957","361","4070","439","378","217","4","7","1375","306","5002","531",
"0500000US48487","Wilbarger County, Texas","4737","264","3693","297","0","23","3693","297","3515","289","812","167","2588","264","139","69","335","120","15","24","0","23","170","122","874","230",
"0500000US48489","Willacy County, Texas","5671","184","4273","252","10","16","4263","253","3762","254","1737","297","2298","287","403","127","442","150","98","69","0","28","332","149","1066","208",
"0500000US48491","Williamson County, Texas","241754","953","230985","1270","133","63","230852","1278","222187","1494","17296","1109","206352","1774","7238","675","15903","1106","694","264","96","59","4003","564","6766","772",
"0500000US48493","Wilson County, Texas","17785","322","15458","383","10","13","15448","384","14344","449","3060","400","9518","451","427","143","4031","463","316","137","77","71","473","197","1854","274",
"0500000US48495","Winkler County, Texas","2781","135","2474","161","2","3","2472","161","2385","161","273","104","2040","180","84","65","450","130","3","4","0","21","54","43","253","115",
"0500000US48497","Wise County, Texas","24581","368","21808","533","51","35","21757","532","20574","544","5047","514","11546","642","745","243","5816","485","304","95","0","35","274","129","2499","425",
"0500000US48499","Wood County, Texas","18221","497","15729","535","65","58","15664","538","14645","509","4040","559","10009","616","736","184","2582","385","155","78","10","13","374","147","2118","381",
"0500000US48501","Yoakum County, Texas","2616","163","2415","213","0","21","2415","213","2145","266","394","142","1927","220","260","192","209","132","0","21","0","21","0","21","201","120",
"0500000US48503","Young County, Texas","7763","204","6964","303","2","3","6962","303","6436","342","1375","244","5049","332","406","164","897","246","60","58","0","23","19","29","780","183",
"0500000US48505","Zapata County, Texas","4612","258","3283","306","0","23","3283","306","2233","325","371","177","2732","290","967","241","349","178","76","63","7","12","22","25","1307","233",
"0500000US48507","Zavala County, Texas","3411","165","2601","304","0","21","2601","304","1829","345","326","140","2065","298","677","272","241","144","54","60","0","21","140","117","670","264",
"0500000US49001","Beaver County, Utah","2386","121","1921","160","0","17","1921","160","1671","169","161","88","1591","168","211","72","216","84","39","31","0","17","61","56","404","127",
"0500000US49003","Box Elder County, Utah","19150","290","17794","341","55","26","17739","343","16770","418","2106","296","14030","387","699","223","2144","227","200","68","3","4","376","115","980","215",
"0500000US49005","Cache County, Utah","43118","347","39820","470","21","20","39799","470","37797","532","3209","409","33508","760","1649","292","4310","456","268","138","7","10","1804","309","1494","237",
"0500000US49007","Carbon County, Utah","8023","206","6722","316","49","45","6673","312","6171","310","703","153","5425","333","448","120","694","166","32","30","8","14","508","185","793","164",
"0500000US49009","Daggett County, Utah","262","57","232","54","0","12","232","54","219","51","48","21","132","39","4","7","51","22","9","10","0","12","4","4","26","19",
"0500000US49011","Davis County, Utah","114674","693","108038","1138","198","118","107840","1125","103088","1097","7471","661","97171","1221","4055","517","8333","803","180","90","83","63","2388","450","4248","596",
"0500000US49013","Duchesne County, Utah","6714","148","6036","181","11","12","6025","181","5506","190","688","106","5019","180","464","92","531","94","21","21","0","19","191","55","487","100",
"0500000US49015","Emery County, Utah","3428","117","3025","151","0","17","3025","151","2669","158","238","80","2621","152","290","82","175","65","33","29","0","17","49","46","354","90",
"0500000US49017","Garfield County, Utah","2027","129","1648","120","11","13","1637","119","1203","144","155","70","1422","125","405","103","100","61","21","24","0","17","157","58","222","70",
